Text,Context,Show,Label,linguistic_cue_prompt,contextual_cue_prompt,emotional_cue_prompt,linguistic_cue,contextual_cue,emotional_cue
"SHELDON: - No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?","LEONARD: Dr. Jeffries, hello again. Leonard Hofstadter.
 PERSON: Oh, oh, right, I remember your-your girlfriend.
 PERSON: Is-Is she... is she here?
 LEONARD: No, she's not.
 SHELDON: So, what prescription are you getting filled?
 LEONARD: - Sheldon.
 SHELDON: No. Wait, I want to guess. Don't tell me.
 PERSON: I wasn't going to tell you.
",BBT,0,"[{'role': 'user', 'content': ""\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        SHELDON: - No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?\n\n        ""}]","[{'role': 'user', 'content': ""\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        SHELDON: - No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?\n\n        ""}]","[{'role': 'user', 'content': ""\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        SHELDON: - No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?\n\n        ""}]","Here are the linguistic cues that suggest sarcasm in the input sentence:

1. **Contrastive language**: The phrase ""No, no, no"" is a common way to express strong negation, which is often used to convey sarcasm.
2. **Understatement**: Sheldon says he","From the input sentence, I've extracted the following contextual cues that could indicate sarcasm:

1. **Topic**: The topic is likely related to a puzzle or a game that Sheldon is trying to solve.
2. **Context**: The conversation appears to be between Sheldon and someone else, possibly a","Here are the linguistic cues that suggest sarcasm in the input sentence:

1. **Contrastive language**: The phrase ""No, no, no"" is a common way to express strong negation, which is often used to convey sarcasm.
2. **Understatement**: Sheldon says he"
PERSON: Then we went to this bar and he hooked us up with all these women!,"RACHEL: Hi Tag! Hey, so did you have fun with uh, with Joey last night?
 PERSON: Oh yeah! We went to the Knicks game. Ohh that's nice.
",FRIENDS,0,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        PERSON: Then we went to this bar and he hooked us up with all these women!\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        PERSON: Then we went to this bar and he hooked us up with all these women!\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        PERSON: Then we went to this bar and he hooked us up with all these women!\n\n        '}]","Here are the linguistic cues that suggest sarcasm in the input sentence:

**Keywords:**

* ""hooked us up"" - This phrase is often used to express gratitude or appreciation, but in this context, it's likely being used ironically to convey the opposite meaning.
* ""all these women","Here are the contextual cues that can be extracted from the input sentence for sarcasm detection:

* Topic: The topic is a social event or gathering, specifically a night out at a bar.
* Context: The context is likely a conversation about a recent social event or experience.
* Common knowledge:","Here are the linguistic cues that suggest sarcasm in the input sentence:

**Keywords:**

* ""hooked us up"" - This phrase is often used to express gratitude or appreciation, but in this context, it's likely being used ironically to convey the opposite meaning.
* ""all these women"
"DOROTHY: No Rose, go to the corner and open a stand","ROSE: Shall I set this down someplace?
",GOLDENGIRLS,1,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        DOROTHY: No Rose, go to the corner and open a stand\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        DOROTHY: No Rose, go to the corner and open a stand\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        DOROTHY: No Rose, go to the corner and open a stand\n\n        '}]","From the input sentence, I've identified the following linguistic cues that may indicate sarcasm:

1. **Keywords:**
	* ""No"" - This is a common keyword used in sarcastic language to express the opposite of what the speaker intends.
	* ""corner"" - This word may","From the input sentence, I extract the following contextual cues for sarcasm detection:

**Topic:** The topic is likely related to entrepreneurship, business, or commerce, as it mentions opening a stand.

**Context:** The context is informal, as it appears to be a conversation between two individuals, Dorothy","From the input sentence, I've identified the following linguistic cues that may indicate sarcasm:

1. **Keywords:**
	* ""No"" - This is a common keyword used in sarcastic language to express the opposite of what the speaker intends.
	* ""corner"" - This word may"
"SHELDON: You see betrayal in others, but not yourself.","HOWARD: What choice did I have? She went behind my back and turned my own mother against me.
 RAJ: Wow. You're not only our first astronaut.
You're also the first one of us to kick a girl out of bed.
 RAJ: You're like a rock star.
 HOWARD: Little bit.
 LEONARD: I hate to say it, but she did kind of betray you.
",BBT,1,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        SHELDON: You see betrayal in others, but not yourself.\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        SHELDON: You see betrayal in others, but not yourself.\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        SHELDON: You see betrayal in others, but not yourself.\n\n        '}]","Here are the linguistic cues extracted from the input sentence for sarcasm detection:

**Keywords:**

* ""You see"" - a phrase that can be used to express irony or sarcasm
* ""betrayal"" - a strong and negative emotion that can be used to convey sarcasm
","Here are the contextual cues that can be extracted from the input sentence for sarcasm detection:

1. **Topic**: The topic is likely a commentary on human behavior, specifically the tendency to be quick to judge others for their perceived flaws while being oblivious to one's own flaws.
2. **Context","Here are the linguistic cues extracted from the input sentence for sarcasm detection:

**Keywords:**

* ""You see"" - a phrase that can be used to express irony or sarcasm
* ""betrayal"" - a strong and negative emotion that can be used to convey sarcasm
"
PENNY: How do you not tear off his clothes and take him right here on this table?,"PENNY: Awkward silence. Sheldon on his phone.
No touching. Somebody's having date night.
 AMY: It's actually steamier than it looks.
Sheldon's looking up the phallic symbolism of root vegetables in Renaissance paintings.
 SHELDON: Oh, no, I got bored with that.
I'm just browsing cuticle scissors on Amazon.
",BBT,1,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        PENNY: How do you not tear off his clothes and take him right here on this table?\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        PENNY: How do you not tear off his clothes and take him right here on this table?\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        PENNY: How do you not tear off his clothes and take him right here on this table?\n\n        '}]","Here are the linguistic cues extracted from the input sentence for sarcasm detection:

**Keywords:**

* ""How do you not"" - This phrase is a common way to express incredulity or surprise, which can be a cue for sarcasm.
* ""take him right here on this table","Based on the input sentence, the following contextual cues for sarcasm detection can be extracted:

* **Topic:** The topic is likely a romantic or intimate situation, possibly a dinner date or a social gathering.
* **Context:** The context suggests that the speaker, PENNY, is likely in a","Here are the linguistic cues extracted from the input sentence for sarcasm detection:

**Keywords:**

* ""How do you not"" - This phrase is a common way to express incredulity or surprise, which can be a cue for sarcasm.
* ""take him right here on this table"
CHANDLER: You have to stop the Q-Tip when there is resistance,"JOEY: My family's been going to him forever. He did my first suit when I was 15. No wait 16. Excuse me, 15 ...  Alright when was 1990?
",FRIENDS,1,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        CHANDLER: You have to stop the Q-Tip when there is resistance\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        CHANDLER: You have to stop the Q-Tip when there is resistance\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        CHANDLER: You have to stop the Q-Tip when there is resistance\n\n        '}]","A classic Friends reference!

Here are the linguistic cues that suggest sarcasm in Chandler's statement:

1. **Irony**: The statement is a literal interpretation of the instructions for using a Q-Tip (cotton swab), which is an unusual way to use the phrase ""stop when there","A classic Friends reference!

Here are the contextual cues that can help detect sarcasm in this input:

**Topic:** Personal hygiene, specifically ear cleaning

**Context:** This is a conversation between Chandler and someone else (likely Joey or Monica) in the TV show Friends. The topic of ear cleaning","A classic Friends reference!

Here are the linguistic cues that suggest sarcasm in Chandler's statement:

1. **Irony**: The statement is a literal interpretation of the instructions for using a Q-Tip (cotton swab), which is an unusual way to use the phrase ""stop when there"
"CHANDLER: Great! Okay, here.","PHOEBE: See, if I am not buried with that ring then my spirit is going to wander the nether world for all eternity
 CHANDLER: Okay, that's enough honey!
 PERSON: I don't know. Let me see the ring.
",FRIENDS,0,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        CHANDLER: Great! Okay, here.\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        CHANDLER: Great! Okay, here.\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        CHANDLER: Great! Okay, here.\n\n        '}]","A short and sweet example!

Here are the linguistic cues I've extracted for sarcasm detection:

**Keywords:**

* ""Great!"" (a phrase that typically expresses enthusiasm or positivity, but in this context, might be ironic)
* ""Okay"" (a phrase that can be used to express","From the input sentence, I've extracted the following contextual cues that may indicate sarcasm:

1. **Topic**: The topic is likely related to something unpleasant or unwanted, as the tone is negative and the word ""Great!"" is used ironically.
2. **Context**: The context is likely a","A short and sweet example!

Here are the linguistic cues I've extracted for sarcasm detection:

**Keywords:**

* ""Great!"" (a phrase that typically expresses enthusiasm or positivity, but in this context, might be ironic)
* ""Okay"" (a phrase that can be used to express"
CHANDLER: Great! Now we can do laundry all night. All night laundry!,"MONICA: Actually, I was gonna do some laundry. Chandler, do you wanna do it with me?
 CHANDLER: Sure I will do it with you
 RACHEL: You don't mind do you, that would really help me a lot Thanks.
 MONICA: I don't think I have enough quarters
 PHOEBE: I have quarters!
",FRIENDS,1,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        CHANDLER: Great! Now we can do laundry all night. All night laundry!\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        CHANDLER: Great! Now we can do laundry all night. All night laundry!\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        CHANDLER: Great! Now we can do laundry all night. All night laundry!\n\n        '}]","Here are the linguistic cues that suggest sarcasm in the input sentence:

**Keywords:**

* ""Great!"" (a sarcastic tone often begins with a phrase that seems enthusiastic but is actually ironic)
* ""All night"" (an exaggeration that implies the speaker is not looking forward to doing","Here are the contextual cues for sarcasm detection:

* **Topic:** Laundry
* **Context:** The conversation likely took place in a humorous or casual setting, possibly among friends or in a sitcom (given the reference to ""CHANDLER"" and ""All night laundry!"").
* **Common","Here are the linguistic cues that suggest sarcasm in the input sentence:

**Keywords:**

* ""Great!"" (a sarcastic tone often begins with a phrase that seems enthusiastic but is actually ironic)
* ""All night"" (an exaggeration that implies the speaker is not looking forward to doing"
HOWARD: I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.,"HOWARD: We can't show up to your mom's empty-handed. 
We should bring something.
 SHELDON: I already am.
I'm bringing the gift of knowledge.
 HOWARD: Oh, boy.
 SHELDON: Despite what her Bible says, recent archeological studies indicate that although camels are referenced in the Old Testament, they didn't exist in the Middle East until hundreds of years later.
",BBT,1,"[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        HOWARD: I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        HOWARD: I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.\n\n        '}]","[{'role': 'user', 'content': '\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        HOWARD: I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.\n\n        '}]","The linguistic cues that suggest sarcasm in this input sentence are:

1. **Contrastive language**: The speaker says ""But an insult to her faith is always thoughtful"", which is a surprising and unexpected statement. The contrast between the initial suggestion of getting a cake or pie and the subsequent suggestion","Here are the contextual cues extracted from the input sentence for sarcasm detection:

1. **Topic**: The topic is a suggestion for a gift to be given to someone, likely a woman, possibly in a romantic or social context.
2. **Context**: The context is a conversation, possibly between","The linguistic cues that suggest sarcasm in this input sentence are:

1. **Contrastive language**: The speaker says ""But an insult to her faith is always thoughtful"", which is a surprising and unexpected statement. The contrast between the initial suggestion of getting a cake or pie and the subsequent suggestion"
LEONARD: I didn't know they gave Nobel prizes for making boom-boom in the potty.,"SHELDON: the paper was rejected, but recently, he was proven right.
 SHELDON: And now he's on the fast track to win a Nobel prize.
 PENNY: Yeah, that's basically what I said.
 SHELDON: The point is Higgs is being celebrated for work he did 50 years ago, so that got me thinking,
 SHELDON: perhaps I've already hit upon the idea that will win me my Nobel prize.
",BBT,1,"[{'role': 'user', 'content': ""\n        ###Instruction:\n        Please extract the linguistic cues from the input sentence for sarcasm detection, such as keywords, rhetorical devices, punctuation, language style.\n\n        ###Input:\n        LEONARD: I didn't know they gave Nobel prizes for making boom-boom in the potty.\n\n        ""}]","[{'role': 'user', 'content': ""\n        ###Instruction:\n        Please extract the contextual cues from the input sentence for sarcasm detection, such as topic, context, common knowledge.\n\n        ###Input:\n        LEONARD: I didn't know they gave Nobel prizes for making boom-boom in the potty.\n\n        ""}]","[{'role': 'user', 'content': ""\n        ###Instruction:\n        Please extract the emotional cues from the input sentence for sarcasm detection, such as emotional words, emotional contrasts.\n\n        ###Input:\n        LEONARD: I didn't know they gave Nobel prizes for making boom-boom in the potty.\n\n        ""}]","Here are the linguistic cues extracted from the input sentence for sarcasm detection:

**Keywords:**

* ""boom-boom"" (a colloquial and informal way to refer to flatulence, which is an unexpected and humorous topic for a Nobel prize)
* ""potty"" (a childish","Here are the contextual cues that can be extracted from the input sentence for sarcasm detection:

**Topic:** The topic is likely the Nobel Prize, which is a prestigious award in various fields.

**Context:** The context is likely a conversation about the Nobel Prize, and possibly the announcement of a new","Here are the linguistic cues extracted from the input sentence for sarcasm detection:

**Keywords:**

* ""boom-boom"" (a colloquial and informal way to refer to flatulence, which is an unexpected and humorous topic for a Nobel prize)
* ""potty"" (a childish"
